0,1,2
0.36,1.96,0.12
2.2,0.24,1.84
0.72,0.0,0.24
0.6,0.24,0.76
0.88,2.08,1.1600000000000001
0.48,0.36,0.24
0.88,2.2,0.24
0.36,0.88,1.96
0.36,0.48,0.12
0.24,0.0,1.96
0.24,0.0,0.88
2.44,0.0,0.36
0.48,0.0,0.64
0.36,0.24,0.0
0.64,2.2,0.0
0.0,0.48,0.24
0.0,0.48,2.3200000000000003
0.36,0.0,1.0
2.2,0.0,0.72
0.48,0.12,0.12
0.48,1.96,1.84
0.24,0.24,0.0
2.08,0.12,0.24
0.48,1.84,2.08
0.12,0.36,0.12
1.84,1.0,1.84
0.0,1.9200000000000002,0.0
0.0,0.96,0.0
0.12,0.0,0.36
1.96,0.24,2.08
0.24,1.96,0.6
0.24,0.36,1.04
2.08,1.28,0.0
0.0,0.48,0.0
0.0,0.0,0.48
0.12,0.0,2.44
1.96,0.0,0.6
0.36,0.36,1.4400000000000002
0.24,2.44,0.0
0.12,0.72,0.24
1.84,0.72,2.08
0.0,0.88,0.48
0.48,0.0,1.1600000000000001
2.4400000000000004,0.24,0.24
0.76,2.08,0.0
0.24,0.0,0.24
0.0,0.12,2.2
0.12,1.84,0.72
1.96,0.24,1.12
0.24,2.2,0.72
0.36,0.48,0.48
2.08,0.48,0.12
0.48,0.24,1.96
0.12,0.36,0.24
1.84,2.08,0.0
0.12,0.48,0.0
0.12,0.48,0.36
1.84,0.12,2.3200000000000003
0.0,1.84,0.96
0.24,0.0,0.24
1.96,0.0,2.3200000000000003
1.4400000000000002,0.0,0.96
0.0,0.36,0.0
0.0,2.3200000000000003,0.12
0.0,0.0,2.2
0.0,0.12,0.72
0.12,1.84,0.24
2.2,0.0,1.96
1.4,0.0,0.48
0.36,0.12,1.56
0.64,2.08,0.36
0.12,0.48,0.24
1.1600000000000001,0.12,0.12
1.4400000000000002,2.08,1.84
0.12,0.48,0.12
0.24,0.36,1.56
2.08,2.3200000000000003,0.36
0.12,0.0,1.4400000000000002
2.2,0.0,0.0
0.48,0.12,0.0
0.6,1.84,0.12
1.04,0.24,2.2
0.0,2.08,0.6
0.0,0.88,0.6
0.24,0.48,0.48
2.2,0.0,0.48
0.76,0.0,0.12
0.48,0.12,1.84
0.48,2.08,0.0
0.0,0.36,0.12
0.0,1.6800000000000002,2.08
0.36,0.36,0.36
2.3200000000000003,0.24,0.24
0.48,0.12,0.0
1.1600000000000001,1.4400000000000002,0.0
0.36,0.0,0.24
0.24,0.0,2.3200000000000003
0.0,0.12,0.48
0.0,1.84,0.0
0.0,0.36,0.24
0.24,2.2,1.96
2.08,1.04,0.24
1.4,0.12,0.0
0.72,1.04,0.12
0.12,0.0,2.08
1.84,0.24,0.36
0.0,2.2,0.24
0.12,0.64,0.12
1.96,0.0,1.96
1.4400000000000002,0.48,0.24
0.0,2.44,0.24
0.12,0.84,2.08
1.84,2.04,0.12
0.0,0.84,1.84
0.0,0.84,0.0
0.12,0.48,0.0
1.84,2.44,0.12
0.0,0.84,1.96
0.12,0.96,0.24
1.84,0.45818181818181813,0.0
0.0,0.88,0.36
0.0,0.48,2.44
0.0,2.2,0.84
0.12,0.6,1.6800000000000002
1.96,1.4400000000000002,0.48
0.24,0.0,0.24
0.0,0.12,2.08
0.12,1.84,0.24
1.84,0.24,2.2
0.0,1.96,0.84
0.0,0.2987234042553192,1.4400000000000002
0.48,0.24,0.0
0.6,0.12,0.0
2.44,2.08,0.0
1.3199999999999998,0.48,0.0
0.96,0.0,0.0
0.76,0.24,0.24
0.24,2.08,1.96
0.12,0.6,0.12
1.84,1.4872727272727273,1.84
0.0,1.12,0.12
0.0,0.0,1.1600000000000001
0.12,0.24,1.1600000000000001
2.08,2.08,0.24
0.36,0.84,0.0
0.64,0.72,0.0
0.12,0.0,0.36
1.84,0.0,2.3200000000000003
0.0,0.6,0.0
0.0,2.8000000000000003,0.0
0.0,0.96,0.0
0.12,0.0,0.12
1.84,0.0,2.08
0.0,0.24,0.72
0.0,2.08,0.96
0.0,0.48,0.0
0.24,2.44,0.0
2.2,0.72,0.12
0.48,0.6,1.96
0.88,0.72,0.24
0.36,0.12,0.0
2.3200000000000003,1.84,0.0
0.12,0.0,0.24
1.96,0.0,2.08
0.24,0.36,0.12
0.0,2.44,1.84
0.12,0.6,0.0
1.96,2.68,0.0
0.24,0.84,0.12
0.0,2.04,1.96
0.24,0.84,0.48
1.96,0.84,0.48
0.36,0.72,0.24
1.4400000000000002,0.96,1.96
0.24,0.12,0.24
0.88,1.84,1.8000000000000003
0.0,0.0,0.72
0.24,0.12,1.0
2.08,1.96,1.28
0.12,0.48,0.48
1.84,0.48,0.0
0.0,0.12,0.48
0.12,1.84,2.44
1.96,0.0,0.84
0.24,0.6,0.72
0.36,2.44,0.6
2.3200000000000003,1.6400000000000001,1.4
0.88,0.72,0.72
0.48,0.96,0.0
0.0,0.48,0.12
0.0,2.56,1.84
0.0,0.36,0.12
0.0,2.3200000000000003,1.96
0.36,0.0,0.64
2.2,0.0,0.0
0.48,0.12,0.24
0.76,1.84,2.2
0.48,0.0,0.64
0.48,0.36,0.0
0.76,2.08,0.0
1.04,1.4,0.12
0.0,0.72,1.96
0.0,0.0,0.48
0.12,0.36,1.0290909090909093
1.84,2.44,0.24
0.0,0.84,0.12
0.0,0.84,0.88
0.48,0.6,0.36
2.2,2.4000000000000004,1.04
0.72,0.96,0.0
0.6,0.0,0.12
2.44,0.12,1.84
0.45818181818181813,1.84,0.0
1.4,0.0,0.24
0.36,0.24,2.3200000000000003
2.08,1.96,0.5974468085106384
0.48,1.4400000000000002,0.22909090909090907
